Специальность,Изменение
Системный администратор,9.81
Web-программист,1.32
SMM-менеджер,-7.91
Интернет-маркетолог,7.19
Разработчик 1С,-3.65
Инженер-программист,-16.63
Тестировщик ПО,29.81
Frontend-разработчик,24.3
Специалист 1С,13.98
Контент-менеджер,6.86
Оператор ПК,31.95
Инженер технической поддержки,0.84
Java-разработчик,19.35
Менеджер интернет-магазина,-4.67
Аналитик,16.59
PHP-разработчик,-17.85
Оператор 1С,29.41
Системный аналитик,52.34
Специалист по IT,3.96
Сервисный инженер,12.37
SEO-специалист,-30.42
IOS разработчик,-4.31
DevOps Engineer,108.33
Категорийный менеджер,-2.4
Android разработчик,17.27
Python-разработчик,48.39
Менеджер по рекламе,-4.62
Специалист по информационной безопасности,14.29
Копирайтер,-7.89
Технический писатель,50.77
Технический директор,7.35
Технический специалист,1.3
Дизайнер-консультант,-7.5
UI/UX дизайнер,31.94
PR-менеджер,5.26
Data Scientist,44.07
Оператор базы данных,11.25
IT рекрутер,30.56
Оператор видеонаблюдения,6.82
Backend-разработчик,34.15
Программист SQL,10.0
Телемаркетолог,-36.14
Программист С++,-10.17
Руководитель IT проектов,6.67
Сервис-менеджер,6.25
Менеджер интернет проектов,-21.15
.NET Developer,18.18
Java разработчик,9.09
Full-stack разработчик,16.67
Трейд-маркетолог,7.69
Инженер-программист АСУ ТП,21.43
Ведущий аналитик,23.81
Digital Marketing Manager,-74.16
Специалист сервисного центра,-52.0
Product Owner,40.0
Аналитик данных,166.67
Администратор баз данных,37.5
3D-дизайнер,-25.0
Business Analyst,62.5
Product manager,6.25
Специалист по защите информации,25.0
Видеооператор,-35.48
Инженер АСУТП,66.67
Unity разработчик,112.5
Инженер сервисной службы,17.65
Дизайнер-визуализатор,11.11
Сервис-инженер,-17.65
Макетчик,250.0
Инженер связи,30.0
Менеджер по продажам IT услуг,-40.54
JavaScript Developer,-6.67
Учитель информатики,220.0
Руководитель сервисной службы,11.11
Аналитик-маркетолог,166.67
Сервисный консультант,0.0
Дизайнер-художник,66.67
Креативный дизайнер,-38.1
2D-художник,-27.27
Видеомонтажер,-12.5
Game Designer,43.75
Оператор связи,-33.33
Motion Designer,12.5
Специалист технического отдела,14.29
Специалист по тестированию ПО,0.0
Ведущий бизнес-аналитик,100.0
Видеограф,75.0
Фотограф-дизайнер,18.18
Художник-дизайнер,13.33
Дизайнер-проектировщик,100.0
Администратор сайта,0.0
Технический эксперт,0.0
Младший аналитик,30.0
Junior Project Manager,150.0
Инженер-программист микроконтроллеров,-27.27
Инженер-проектировщик ОВ,6.67
Разработчик мобильных приложений,-54.55
Специалист по сбору информации,-16.67
Технический менеджер,-25.0
Мастер по ремонту компьютеров,66.67
Арт-менеджер,-50.0
Старший аналитик,8.33
Программист-стажер,20.0
Консультант SAP,0.0
Golang разработчик,75.0
Специалист по контекстной рекламе / Директолог,-20.0
Комьюнити-менеджер,-50.0
Оператор цифровой печати,-33.33
Специалист по внедрению и сопровождению ПО,0.0
Администратор баз данных Oracle,1000.0
Заместитель технического директора,25.0
Инженер технического отдела,8.33
Инженер по техническому обслуживанию,-20.0
Инженер проекта,16.67
Team Lead,300.0
Руководитель технического отдела,-14.29
Курьер в интернет-магазин,33.33
Программист Delphi,15.38
Copywriter,-28.57
Технический дизайнер,62.5
Веб-аналитик,87.5
Бизнес-аналитик 1С,116.67
Разработчик баз данных,-22.22
React Native Developer,200.0
Разработчик BI,125.0
E-mail маркетолог,50.0
Преподаватель робототехники,66.67
Инженер-разработчик,25.0
Technical Writer,0.0
Специалист по обработке данных,300.0
Дизайнер презентаций,-28.57
Разработчик Oracle,100.0
Преподаватель информатики,0.0
Scrum Master,50.0
Моушн-дизайнер,100.0
Специалист по сопровождению ПО,300.0
Инженер АСУ,-50.0
Программист C Sharp,100.0
